image_id,feature_1,feature_2,feature_3,feature_4
1,0.523,0.234,0.123,0.789
2,0.123,0.456,0.789,0.654
3,0.987,0.654,0.321,0.234
4,0.234,0.789,0.567,0.321
5,0.654,0.321,0.456,0.789
6,0.789,0.987,0.654,0.321
7,0.345,0.678,0.912,0.123
8,0.567,0.890,0.123,0.456
9,0.901,0.234,0.567,0.890
10,0.789,0.123,0.890,0.234
11,0.234,0.567,0.901,0.345
12,0.678,0.901,0.234,0.567
13,0.123,0.789,0.678,0.901
14,0.456,0.234,0.345,0.678
15,0.890,0.567,0.456,0.234
16,0.901,0.890,0.789,0.567
17,0.234,0.123,0.678,0.890
18,0.567,0.901,0.234,0.123
19,0.789,0.234,0.567,0.901
20,0.123,0.567,0.890,0.234
21,0.567,0.890,0.123,0.678
22,0.789,0.901,0.456,0.234
23,0.901,0.234,0.789,0.567
24,0.234,0.567,0.901,0.890
25,0.567,0.890,0.234,0.123
